Adam,Kowalski,3.5
Anna,Nowak,4.0
Piotr,Wójcik,3.2
Katarzyna,Kwiatkowska,4.5
Tomasz,Wiśniewski,3.8
Małgorzata,Wójcik,4.2
Marek,Kowalczyk,3.0
Agnieszka,Kamińska,4.3
Paweł,Lewandowski,3.7
Ewa,Dąbrowska,4.1
Michał,Zieliński,3.4
Barbara,Szymańska,4.6
Jacek,Woźniak,3.9
Magdalena,Ostrowska,4.4
Łukasz,Jankowski,3.1
Joanna,Mazur,4.7
Robert,Krawczyk,3.6
Dorota,Kaczmarek,4.8
Krzysztof,Piotrowski,3.3
Maria,Gajewska,4.9
Andrzej,Górecki,2.9
Natalia,Sikora,5.0
Maciej,Malinowski,2.8
Beata,Rutkowska,5.1
Rafał,Szewczyk,2.7
Iwona,Wilk,5.2
Jakub,Majewski,2.6
Karolina,Zając,5.3
Arkadiusz,Wysocki,2.5
Monika,Borkowska,5.4
Grzegorz,Cieślak,2.4
Sylwia,Kalinowska,5.5
Janusz,Kubiak,2.3
Elżbieta,Matusiak,5.6
Sebastian,Sokołowski,2.2
Klaudia,Sobczak,5.7
Wojciech,Sawicki,2.1
Marta,Marciniak,5.8
Dariusz,Wolski,2.0
Danuta,Zalewska,5.9
Filip,Lisowski,1.9
Halina,Jarosz,6.0
Mariusz,Kucharski,1.8
Irena,Borowska,6.1
Tadeusz,Musiał,1.7
Bożena,Szewczyk,6.2
Radosław,Kołodziej,1.6
Renata,Dudek,6.3
Dominik,Sikorski,1.5
Alicja,Majchrzak,6.4
Patryk,Bąk,1.4
Urszula,Kaczmarczyk,6.5
Przemysław,Głowacki,1.3
Edyta,Zakrzewska,6.6
Bartosz,Zawadzki,1.2
Grażyna,Pawlak,6.7
Piotr,Walczak,1.1
Justyna,Witkowska,6.8
Stefan,Sikora,1.0
Aleksandra,Kozłowska,6.9
